Fine-tuning t5-large...
Step: 100, Loss: 0.3200
Step: 200, Loss: 0.2356
Step: 300, Loss: 0.1709
Step: 400, Loss: 0.1326
Step: 500, Loss: 0.1085
Step: 600, Loss: 0.0918
Step: 700, Loss: 0.0796
Step: 800, Loss: 0.0704
Step: 900, Loss: 0.0633
Step: 1000, Loss: 0.0576
Step: 1100, Loss: 0.0528
Step: 1200, Loss: 0.0488
Step: 1300, Loss: 0.0454
Step: 1400, Loss: 0.0425
Step: 1500, Loss: 0.0400
Epoch 1/10, Train Loss: 0.0388
---val test in answer status---
authoritarian | ignore
the desert | populated areas
atlas | atlas
pretty flowers | natural habitat
television | television
airport | airport
breadbox | refrigerator
inkwell | blotter
town | business sector
fruit basket | grocery cart
harder | bitterness
rest area | garden
loss of heat | loss of heat
living room | kitchen
barbeque | barbeque
food court | food court
computer network | computer network
being found out | being found out
take money | take money
pet shops | pet shops
jail time | law suit
television | television
neighborhood | subdivision
make breakfast | light fire
crumpled | saturated with water
beach | beach
government | government
headache | headache
wildlife refuge | wildlife refuge
paying | paying
illegal | dangerous
illness | stomach ache
gather of information | social bonding
disneyland | street
california | california
finish line | healthy body
proximity | proximity
gain weight | late for work
demonstration | demonstration
bus stop | military base
feel safe | feel safe
headaches | frustration
apply for job | apply for job
headache | headache
lake or river | millpond
suicide | reach tentative agreement
under rocks | under rocks
boredom | get smart
tennessee | tennessee
heal | heal
cloud judgment | feel good
sporting event | sporting event
owner | subordinate
attracting ducks | respond
library | mall
web page | web page
skill | skill
spoons | circus
gain weight | gain weight
being bored | being bored
factory | construction site
progress | progress
options | fun
store | store
desire | desire
happy | satisfaction
fridge | freezer
band | symphony
violence | violence
reality | reality
parking lot | parking lot
dog's mouth | trouble
while chopping onions | finger
stress | stress
office | office
present bill | present bill
depressed | depressed
wakefulness | wakefulness
field of flowers | field of flowers
garage | closet
marriage | being married
carried by people | fly
hands | hands
suicide | suicide
missing out | missing out
friend's house | friend's house
pub | pub
pantry | refrigerator
france | france
itches | feel pressure
end of line | end of line
handsomeness | neatness
united states | united states
tools | have tools
aircraft carrier | aircraft carrier
purse | burlap sack
ground | bridge
applaud | applaud
math problem | math problem
supermarket | supermarket
sit | meet
knowledgable | knowledgable
homeless shelter | prison
outside | outside
mail box | front door
alone | solitude
optical illusion | sights
terrible | horrible
school grade | school grade
work | work
improved health | improved health
carved | nailed
england | grassy field
rising interest rates | not noticeable
garage | hospital
music room | music class
plan to marry | plan to marry
happiness | happiness
break easily | break easily
ticket | ticket
city block | city block
orchestra | high school band
winners and losers | winners and losers
insubstantial | insubstantial
lack of money | lack of money
have fun | have fun
suburban home | suburban home
bus stop | graph
family room | family room
desk | desk
to fill their time | learning about
see things differently | see things differently
disorientation | disorientation
cars | street corner
rest stops | american city
airport | city
present | closer
music shop | music shop
insulting them | wave goodbye
cook dinner | cook dinner
feel angry | feel angry
think creatively | think creatively
fatigue | getting good grades
flimsy | fragile
your spine | engine
own cars | own cars
brown hair | names
pond | pond
left foot | wedding
intimacy | communicating with others
barber shop | hair salon
players | players
learn | learn
wasted time | wasted time
outside | outside
bladders | feelings
inaccurate | inaccurate
have lunch | have lunch
gaining knowledge | gaining knowledge
electric locomotive | electric refrigerator
home | home
bike | car
speak spanish | stand upright
movie | movie
race track | race track
office depot | office depot
carved | polished
laughter | embarrassment
vegetable | vegetable
mississippi | mississippi
recording studio | recording studio
cause death | cause death
likely | attached
saving money | sitting down
rare | rare
isolation | grief
helpless | insignificant
canada | canada
pass time | pass time
time | patience
attractive appearance | attractive appearance
go on vacation | go on vacation
fresh smell | smooth skin
drink beer | dress himself
farmer's market | woods
shelf | shelf
death | death
dairy farm | dairy farm
walk | play tag
pleasure | pleasure
shopping mall | big city
toy store | toy store
lava | fire
piggy bank | piggy bank
menu | menu
audience | classroom
battlefield | battlefield
family room | family room
getting tired | getting tired
liquidated | liquidated
soccer | soccer game
front door | front door
street corner | bus stop
having money | making money
violin case | symphony orchestra
washing machine | washing machine
hospital | business meeting
examine thing | read book
sadness | happiness
prison | neighbor's house
denmark | netherlands
castle | throne room
central park | street
dance | getting drunk
life partner | larger house
rejection | rejection
easy | clear
mail orders | mail orders
good health | good health
placemat | table setting
fridge | sheet music
exercise | tennis elbow
amusement park | amusement park
infect | infect
bakery | bakery
synagogue | synagogue
museum | battle field
intelligent | intelligent
condition heart | expend energy
plain | plain
high school | container
castle | chess board
rock climb | swim
criticism | criticism
mexico | kitchen
debate | argument
fail to work | answering questions
out of order | being annoyed
river | great outdoors
front door | front door
agressive | cruel
baseball stadium | baseball stadium
illness | illness
irritation | irritation
sun himself | sun himself
retirement home | big house
presents | birth
beer | being understood
play sports | play sports
dream dreams | drink coffee
city | city
being mean | being mean
space shuttle | space shuttle
botanic garden | botanic garden
attic | desk
allergic reaction | food poisoning
startled | shocked
heretical | heretical
hyperventilate | breathe deeply
health center | health center
asia | earth
apartment | apartment
cliff | gorge
listen to music | listen to music
hunt for food | prepare to go
satisfaction | satisfaction
music store | music store
space center | space center
building | building
avoid problems | unhappy
sparse | slender
blisters | blisters
exercise | think
crossword puzzle | do crossword puzzle
jigsaw puzzle | puzzle box
toy store | toy store
eat corn | eat corn
feeling of guilt | feeling of guilt
repair shop | parking garage
blacksmith's shop | blacksmith's shop
human | dangerous
train station | train station
injury | injury
own family | own family
necklace | motorcycle
study area | table
embrace | engage
motel room | motel room
compete with each other | compete with each other
modern house | modern house
water cooler | water cooler
backpack | backpack
home | at home
high school or college | old people's home
melting | melting
french | chinese food
florida | florida
underground | tall
get laid | get laid
smoke | may laugh
lose weight | lose weight
winter storm | winter storm
bowel of the ship | center
hardware store | supermarket
dull read | anthology
go back to work | get food
jump | jump
surf net | surf net
joe | being for
frustration | blisters
disparagement | disparagement
procrastination | procrastination
impatience | time consuming
see favorite show | see favorite show
cash in | cash in
make love | make love
bookstore | shopping mall
contaminated | contaminated
perform surgery | let blood
welcome change | welcome change
time | money
score points | score points
fatigue | fatigue
dedication | dedication
have sex | hear sounds
learning | learning
wash dishes | wash dishes
warehouse | warehouse
roof | floor
from the sky | map
depression | heart attacks
cinema | in cinema
bookstore | train station
seed crops | seed crops
party | party
pool hall | pool hall
desk drawer | cash register
attic | attic
birthday party | birthday party
grocery bag | grocery bag
playroom | playroom
painting | painting
house | surface of earth
fearless | fearless
happiness | happiness
supermarket | hair salon
artist's studio | artist's studio
breaks to help stop | breaks to help stop
carpenter's shop | carpenter's shop
injuries | injuries
orchestra | orchestra
see light | see light
backyard | backyard
resthold | in motion
hello | meow
atlas | atlas
outside | outside
rain forest | rain forest
market | san francisco
hat rack | hat rack
rest area | rest area
kill bill | settle everything
human being | human being
beach | seaside town
talking nonsense | talking nonsense
sophisticated | new
die | die
bored | deafness
drug store | drug store
gain wealth | eat plants
musical | musical
being happy | glee
computer store | computer science
have sex | have sex
revolution | revolution
coke clear | original
tree tops | tree tops
fraternity house | building
oxygen | oxygen
antipathy | antipathy
port | port
