2023-05-10 23:10:39,226 INFO    MainThread:75158 [wandb_setup.py:_flush():75] Loading settings from //users5/znchen/.config/wandb/settings
2023-05-10 23:10:39,227 INFO    MainThread:75158 [wandb_setup.py:_flush():75] Loading settings from /users5/znchen/distil/wandb/settings
2023-05-10 23:10:39,227 INFO    MainThread:75158 [wandb_setup.py:_flush():75] Loading settings from environment variables: {'api_key': '***REDACTED***', 'mode': 'offline'}
2023-05-10 23:10:39,227 INFO    MainThread:75158 [wandb_setup.py:_flush():75] Inferring run settings from compute environment: {'program_relpath': 'predict_frame.py', 'program': '/users5/znchen/distil/predict_frame.py'}
2023-05-10 23:10:39,227 INFO    MainThread:75158 [wandb_init.py:_log_setup():437] Logging user logs to /users5/znchen/distil/wandb/offline-run-20230510_231039-2mdkavh1/logs/debug.log
2023-05-10 23:10:39,227 INFO    MainThread:75158 [wandb_init.py:_log_setup():438] Logging internal logs to /users5/znchen/distil/wandb/offline-run-20230510_231039-2mdkavh1/logs/debug-internal.log
2023-05-10 23:10:39,227 INFO    MainThread:75158 [wandb_init.py:init():471] calling init triggers
2023-05-10 23:10:39,227 INFO    MainThread:75158 [wandb_init.py:init():474] wandb.init called with sweep_config: {}
config: {}
2023-05-10 23:10:39,227 INFO    MainThread:75158 [wandb_init.py:init():524] starting backend
2023-05-10 23:10:39,227 INFO    MainThread:75158 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-05-10 23:10:39,231 INFO    MainThread:75158 [backend.py:ensure_launched():217] starting backend process...
2023-05-10 23:10:39,233 INFO    MainThread:75158 [backend.py:ensure_launched():222] started backend process with pid: 75258
2023-05-10 23:10:39,234 INFO    MainThread:75158 [wandb_init.py:init():533] backend started and connected
2023-05-10 23:10:39,235 INFO    MainThread:75158 [wandb_init.py:init():597] updated telemetry
2023-05-10 23:10:39,236 INFO    MainThread:75158 [wandb_init.py:init():659] starting run threads in backend
2023-05-10 23:10:44,242 INFO    MainThread:75158 [wandb_run.py:_console_start():1897] atexit reg
2023-05-10 23:10:44,243 INFO    MainThread:75158 [wandb_run.py:_redirect():1770] redirect: SettingsConsole.REDIRECT
2023-05-10 23:10:44,243 INFO    MainThread:75158 [wandb_run.py:_redirect():1775] Redirecting console.
2023-05-10 23:10:44,249 INFO    MainThread:75158 [wandb_run.py:_redirect():1831] Redirects installed.
2023-05-10 23:10:44,249 INFO    MainThread:75158 [wandb_init.py:init():684] run started, returning control to user process
