//users5/znchen/anaconda3/envs/q2k/lib/python3.10/site-packages/transformers-4.27.0.dev0-py3.10.egg/transformers/optimization.py:391: FutureWarning: This implementation of AdamW is deprecated and will be removed in a future version. Use the PyTorch implementation torch.optim.AdamW instead, or set `no_deprecation_warning=True` to disable this warning
  warnings.warn(
Fine-tuning facebook/bart-large...
Using 2 GPUs
  0% 0/1549 [00:00<?, ?it/s]//users5/znchen/anaconda3/envs/q2k/lib/python3.10/site-packages/torch/nn/parallel/_functions.py:68: UserWarning: Was asked to gather along dimension 0, but all input tensors were scalars; will instead unsqueeze and return a vector.
  warnings.warn('Was asked to gather along dimension 0, but all '


























































































 99% 1539/1549 [23:27<00:09,  1.10it/s]
Step: 100, Loss: 14.8809
Step: 200, Loss: 12.4983
Step: 300, Loss: 9.6644
Step: 400, Loss: 7.4167
Step: 500, Loss: 5.9850
Step: 600, Loss: 5.0212
Step: 700, Loss: 4.3300
Step: 800, Loss: 3.8109
Step: 900, Loss: 3.4058
Step: 1000, Loss: 3.0816
Step: 1100, Loss: 2.8152
Step: 1200, Loss: 2.5927
Step: 1300, Loss: 2.4042
Step: 1400, Loss: 2.2426
Step: 1500, Loss: 2.1022
100% 1549/1549 [23:36<00:00,  1.09it/s]






100% 233/233 [01:35<00:00,  2.44it/s]
Epoch 1/10, Validation Loss: 0.1131
saving to  ./tmp/generate_model/facebookbartlarge/R/facebookbartlarge_0





































































































100% 1549/1549 [26:11<00:00,  1.01s/it]
  0% 0/233 [00:00<?, ?it/s]
Step: 100, Loss: 0.1319
Step: 200, Loss: 0.1358
Step: 300, Loss: 0.1331
Step: 400, Loss: 0.1339
Step: 500, Loss: 0.1328
Step: 600, Loss: 0.1328
Step: 700, Loss: 0.1318
Step: 800, Loss: 0.1314
Step: 900, Loss: 0.1307
Step: 1000, Loss: 0.1300
Step: 1100, Loss: 0.1295
Step: 1200, Loss: 0.1287
Step: 1300, Loss: 0.1284
Step: 1400, Loss: 0.1278
Step: 1500, Loss: 0.1276




100% 233/233 [01:16<00:00,  3.05it/s]
Epoch 2/10, Validation Loss: 0.1037
saving to  ./tmp/generate_model/facebookbartlarge/R/facebookbartlarge_1






































































































 99% 1527/1549 [26:11<00:22,  1.02s/it]
Step: 100, Loss: 0.1215
Step: 200, Loss: 0.1200
Step: 300, Loss: 0.1194
Step: 400, Loss: 0.1185
Step: 500, Loss: 0.1177
Step: 600, Loss: 0.1172
Step: 700, Loss: 0.1167
Step: 800, Loss: 0.1163
Step: 900, Loss: 0.1161
Step: 1000, Loss: 0.1160
Step: 1100, Loss: 0.1158
